id	x	y
0	17	28
1	19	76
2	36	96
3	85	68
4	49	20
5	24	75
6	50	6
7	65	57
8	10	82
9	74	78
10	11	2
11	61	22
12	57	16
13	37	57
14	14	92
15	58	73
16	1	60
17	26	35
18	69	2
19	9	97
20	23	21
21	69	48
22	82	0
23	20	54
24	43	65
25	86	58
26	41	23
27	92	73
28	87	47
29	30	4
30	31	91
31	18	80
32	96	58
33	41	7
34	80	7
35	9	60
36	48	75
37	23	66
38	17	70
39	0	87
40	92	39
41	26	68
42	10	14
43	33	34
44	68	93
45	1	10
46	86	69
47	39	14
48	21	49
49	74	16
50	66	66
51	62	17
52	48	46
53	19	69
54	75	90
55	29	35
56	96	36
57	79	55
58	65	14
59	9	21
60	62	76
61	93	49
62	91	94
63	42	23
64	52	14
65	15	1
66	84	56
67	27	91
68	48	36
69	65	29
70	35	22
71	35	37
72	28	91
73	85	1
74	42	44
75	74	92
76	34	37
77	2	87
78	80	61
79	52	13
80	41	37
81	95	21
82	75	80
83	88	14
84	45	53
85	30	84
86	1	41
87	4	87
88	75	25
89	62	95
90	98	23
91	57	39
92	11	18
93	75	77
94	68	94
95	65	38
96	9	53
97	12	86
98	79	43
99	81	71
100	65	77
101	7	25
102	4	22
103	51	56
104	9	22
105	23	18
106	6	41
107	21	89
108	77	83
109	9	5
110	20	63
111	51	38
112	42	52
113	63	35
114	69	95
115	27	12
116	32	3
117	2	76
118	40	81
119	55	7
120	28	79
121	4	76
122	56	89
123	20	15
124	37	21
125	88	30
126	97	81
127	76	41
128	14	71
129	19	29
130	32	78
131	48	32
132	60	75
133	42	63
134	5	54
135	94	62
136	77	2
137	14	74
138	63	24
139	26	21
140	73	55
141	30	37
142	98	58
143	36	26
144	24	49
145	46	42
146	51	83
147	58	7
148	3	10
149	32	4
150	51	15
151	22	84
152	6	10
153	18	93
154	15	11
155	44	73
156	97	62
157	53	6
158	82	1
159	28	66
160	12	69
161	86	1
162	73	51
163	31	3
164	79	91
165	23	52
166	65	32
167	95	62
168	83	98
169	44	6
170	29	71
171	57	72
172	30	17
173	93	6
174	26	96
175	40	87
176	63	60
177	27	65
178	5	86
179	11	1
180	88	35
181	28	33
182	32	42
183	33	66
184	46	90
185	7	82
186	75	78
187	67	91
188	85	85
189	71	62
190	59	91
191	12	68
192	5	46
193	3	14
194	99	94
195	45	2
196	76	99
197	58	81
198	37	42
199	5	54
200	29	30
201	60	5
202	90	0
203	37	21
204	43	59
205	4	5
206	59	91
207	60	45
208	50	81
209	70	89
210	9	98
211	85	12
212	80	13
213	72	66
214	53	77
215	94	62
216	53	2
217	30	23
218	46	65
219	39	42
220	0	95
221	33	12
222	45	80
223	33	44
224	82	68
225	81	49
226	14	60
227	62	76
228	81	55
229	52	58
230	7	71
231	22	81
232	54	82
233	78	73
234	15	12
235	54	99
236	61	16
237	26	33
238	11	59
239	76	91
240	1	89
241	63	10
242	95	36
243	74	11
244	11	81
245	40	84
246	47	44
247	91	84
248	92	22
249	78	68
250	51	18
251	61	69
252	61	20
253	45	77
254	92	58
255	2	60
256	72	47
257	52	73
258	9	2
259	97	48
260	16	79
261	1	58
262	20	67
263	86	92
264	90	37
265	12	46
266	46	9
267	21	52
268	23	81
269	84	22
270	79	8
271	57	44
272	90	27
273	27	62
274	47	94
275	74	32
276	76	55
277	20	34
278	41	71
279	69	9
280	85	31
281	26	90
282	35	85
283	94	42
284	55	21
285	72	56
286	7	17
287	39	39
288	63	99
289	53	47
290	91	15
291	7	47
292	94	34
293	96	10
294	86	99
295	26	72
296	5	14
297	7	23
298	82	73
299	84	17
300	93	31
301	3	91
302	50	92
303	3	75
304	61	67
305	66	51
306	89	77
307	23	33
308	88	87
309	73	3
310	52	11
311	78	93
312	3	7
313	79	33
314	73	56
315	91	50
316	3	58
317	4	67
318	52	4
319	92	79
320	74	9
321	99	50
322	49	90
323	64	86
324	97	68
325	4	58
326	56	23
327	46	3
328	48	39
329	5	40
330	86	82
331	56	82
332	5	97
333	20	33
334	8	38
335	73	38
336	87	61
337	5	25
338	72	95
339	71	74
340	27	83
341	56	73
342	14	19
343	50	23
344	47	34
345	38	68
346	17	3
347	23	57
348	59	58
349	61	99
350	43	27
351	17	95
352	20	77
353	92	34
354	82	75
355	63	31
356	58	88
357	91	39
358	16	71
359	52	32
360	63	6
361	36	61
362	97	75
363	78	31
364	24	92
365	57	27
366	47	42
367	65	28
368	25	60
369	44	42
370	75	66
371	78	61
372	85	53
373	85	89
374	1	58
375	29	46
376	16	75
377	42	40
378	10	87
379	65	13
380	80	4
381	15	89
382	10	5
383	12	61
384	27	63
385	19	73
386	9	47
387	27	97
388	85	43
389	35	92
390	22	73
391	74	63
392	20	7
393	98	96
394	9	75
395	61	82
396	64	40
397	44	86
398	21	30
399	2	40
