id	x	y	category
7	65	57	0
21	69	48	0
50	66	66	0
103	51	56	0
140	73	55	0
162	73	51	0
176	63	60	0
189	71	62	0
213	72	66	0
229	52	58	0
251	61	69	0
256	72	47	0
276	76	55	0
285	72	56	0
304	61	67	0
305	66	51	0
314	73	56	0
339	71	74	0
348	59	58	0
370	75	66	0
391	74	63	0
1	19	76	1
5	24	75	1
24	43	65	1
37	23	66	1
38	17	70	1
41	26	68	1
53	19	69	1
85	30	84	1
110	20	63	1
120	28	79	1
128	14	71	1
130	32	78	1
133	42	63	1
137	14	74	1
159	28	66	1
170	29	71	1
177	27	65	1
183	33	66	1
231	22	81	1
262	20	67	1
268	23	81	1
273	27	62	1
278	41	71	1
282	35	85	1
295	26	72	1
340	27	83	1
345	38	68	1
352	20	77	1
358	16	71	1
361	36	61	1
368	25	60	1
376	16	75	1
384	27	63	1
385	19	73	1
390	22	73	1
4	49	20	2
6	50	6	2
12	57	16	2
51	62	17	2
58	65	14	2
64	52	14	2
79	52	13	2
119	55	7	2
147	58	7	2
150	51	15	2
157	53	6	2
169	44	6	2
195	45	2	2
201	60	5	2
216	53	2	2
236	61	16	2
241	63	10	2
250	51	18	2
252	61	20	2
266	46	9	2
284	55	21	2
310	52	11	2
318	52	4	2
327	46	3	2
343	50	23	2
360	63	6	2
379	65	13	2
16	1	60	3
23	20	54	3
35	9	60	3
96	9	53	3
134	5	54	3
160	12	69	3
165	23	52	3
191	12	68	3
199	5	54	3
226	14	60	3
230	7	71	3
238	11	59	3
255	2	60	3
261	1	58	3
267	21	52	3
316	3	58	3
317	4	67	3
325	4	58	3
347	23	57	3
374	1	58	3
383	12	61	3
9	74	78	4
44	68	93	4
54	75	90	4
62	91	94	4
75	74	92	4
82	75	80	4
93	75	77	4
94	68	94	4
108	77	83	4
114	69	95	4
126	97	81	4
164	79	91	4
168	83	98	4
186	75	78	4
187	67	91	4
188	85	85	4
194	99	94	4
196	76	99	4
209	70	89	4
233	78	73	4
239	76	91	4
247	91	84	4
263	86	92	4
294	86	99	4
306	89	77	4
308	88	87	4
311	78	93	4
319	92	79	4
330	86	82	4
338	72	95	4
354	82	75	4
373	85	89	4
393	98	96	4
20	23	21	5
26	41	23	5
29	30	4	5
33	41	7	5
47	39	14	5
63	42	23	5
70	35	22	5
105	23	18	5
115	27	12	5
116	32	3	5
124	37	21	5
139	26	21	5
143	36	26	5
149	32	4	5
163	31	3	5
172	30	17	5
200	29	30	5
203	37	21	5
217	30	23	5
221	33	12	5
13	37	57	6
43	33	34	6
52	48	46	6
55	29	35	6
68	48	36	6
71	35	37	6
74	42	44	6
76	34	37	6
80	41	37	6
84	45	53	6
111	51	38	6
112	42	52	6
131	48	32	6
141	30	37	6
145	46	42	6
182	32	42	6
198	37	42	6
204	43	59	6
219	39	42	6
223	33	44	6
246	47	44	6
287	39	39	6
289	53	47	6
328	48	39	6
344	47	34	6
350	43	27	6
366	47	42	6
369	44	42	6
375	29	46	6
377	42	40	6
40	92	39	7
56	96	36	7
81	95	21	7
90	98	23	7
98	79	43	7
125	88	30	7
127	76	41	7
180	88	35	7
242	95	36	7
248	92	22	7
264	90	37	7
269	84	22	7
272	90	27	7
280	85	31	7
283	94	42	7
292	94	34	7
300	93	31	7
313	79	33	7
353	92	34	7
357	91	39	7
363	78	31	7
388	85	43	7
3	85	68	8
25	86	58	8
27	92	73	8
28	87	47	8
32	96	58	8
46	86	69	8
57	79	55	8
61	93	49	8
66	84	56	8
78	80	61	8
99	81	71	8
135	94	62	8
142	98	58	8
156	97	62	8
167	95	62	8
215	94	62	8
224	82	68	8
225	81	49	8
228	81	55	8
249	78	68	8
254	92	58	8
259	97	48	8
298	82	73	8
315	91	50	8
321	99	50	8
324	97	68	8
336	87	61	8
362	97	75	8
371	78	61	8
372	85	53	8
18	69	2	9
22	82	0	9
34	80	7	9
49	74	16	9
73	85	1	9
83	88	14	9
136	77	2	9
158	82	1	9
161	86	1	9
173	93	6	9
202	90	0	9
211	85	12	9
212	80	13	9
243	74	11	9
270	79	8	9
279	69	9	9
290	91	15	9
293	96	10	9
299	84	17	9
309	73	3	9
320	74	9	9
380	80	4	9
10	11	2	10
42	10	14	10
45	1	10	10
59	9	21	10
65	15	1	10
92	11	18	10
101	7	25	10
102	4	22	10
104	9	22	10
109	9	5	10
123	20	15	10
148	3	10	10
152	6	10	10
154	15	11	10
179	11	1	10
193	3	14	10
205	4	5	10
234	15	12	10
258	9	2	10
286	7	17	10
296	5	14	10
297	7	23	10
312	3	7	10
337	5	25	10
342	14	19	10
346	17	3	10
382	10	5	10
392	20	7	10
0	17	28	11
17	26	35	11
48	21	49	11
86	1	41	11
106	6	41	11
129	19	29	11
144	24	49	11
181	28	33	11
192	5	46	11
237	26	33	11
265	12	46	11
277	20	34	11
291	7	47	11
307	23	33	11
329	5	40	11
333	20	33	11
334	8	38	11
386	9	47	11
398	21	30	11
399	2	40	11
11	61	22	12
69	65	29	12
88	75	25	12
91	57	39	12
95	65	38	12
113	63	35	12
138	63	24	12
166	65	32	12
207	60	45	12
271	57	44	12
275	74	32	12
326	56	23	12
335	73	38	12
355	63	31	12
359	52	32	12
365	57	27	12
367	65	28	12
396	64	40	12
8	10	82	13
14	14	92	13
19	9	97	13
30	31	91	13
31	18	80	13
39	0	87	13
67	27	91	13
72	28	91	13
77	2	87	13
87	4	87	13
97	12	86	13
107	21	89	13
117	2	76	13
121	4	76	13
151	22	84	13
153	18	93	13
174	26	96	13
178	5	86	13
185	7	82	13
210	9	98	13
220	0	95	13
240	1	89	13
244	11	81	13
260	16	79	13
281	26	90	13
301	3	91	13
303	3	75	13
332	5	97	13
351	17	95	13
364	24	92	13
378	10	87	13
381	15	89	13
387	27	97	13
394	9	75	13
2	36	96	14
15	58	73	14
36	48	75	14
60	62	76	14
89	62	95	14
100	65	77	14
118	40	81	14
122	56	89	14
132	60	75	14
146	51	83	14
155	44	73	14
171	57	72	14
175	40	87	14
184	46	90	14
190	59	91	14
197	58	81	14
206	59	91	14
208	50	81	14
214	53	77	14
218	46	65	14
222	45	80	14
227	62	76	14
232	54	82	14
235	54	99	14
245	40	84	14
253	45	77	14
257	52	73	14
274	47	94	14
288	63	99	14
302	50	92	14
322	49	90	14
323	64	86	14
331	56	82	14
341	56	73	14
349	61	99	14
356	58	88	14
389	35	92	14
395	61	82	14
397	44	86	14
